ResultID,DataSource,StationID,Parameter,RelativeDepth,AnalysisTimeSpan,MinYear,MaxYear,N_obs,Median,Trend,Trend_cat
526818,LEE_WQ,37-4GR,BOD5_MGL,Surface,10 year,2011,2020,120,0.65,0,No Trend
526825,LEE_WQ,378,BOD5_MGL,Surface,10 year,2011,2020,114,0.775,0,No Trend
526827,LEE_WQ,38-3GR,BOD5_MGL,Surface,10 year,2011,2020,119,1.1,-2,"Decreasing Trend, Larger Rate"
526833,LEE_WQ,39-GR20,BOD5_MGL,Surface,10 year,2011,2020,119,1.1,-1,"Decreasing Trend, Smaller"
526838,LEE_WQ,40-18GR,BOD5_MGL,Surface,10 year,2011,2020,120,0.9,-1,"Decreasing Trend, Smaller"
526839,LEE_WQ,40-32GR,BOD5_MGL,Surface,10 year,2011,2020,120,1.4,0,No Trend
526848,LEE_WQ,428,BOD5_MGL,Surface,10 year,2011,2020,101,1.15,-2,"Decreasing Trend, Larger Rate"
526863,LEE_WQ,46B-9GR,BOD5_MGL,Surface,10 year,2011,2020,110,0.9,0,No Trend
526864,LEE_WQ,46B-L6GR,BOD5_MGL,Surface,10 year,2011,2020,120,2,0,No Trend
526865,LEE_WQ,47A-15GR,BOD5_MGL,Surface,10 year,2011,2020,118,0.75,0,No Trend
526866,LEE_WQ,47A-28GR,BOD5_MGL,Surface,10 year,2011,2020,119,1.2,-1,"Decreasing Trend, Smaller"
526867,LEE_WQ,47A-4GR,BOD5_MGL,Surface,10 year,2011,2020,120,1.4,-1,"Decreasing Trend, Smaller"
526868,LEE_WQ,47B-11GR,BOD5_MGL,Surface,10 year,2011,2020,120,1.1,-1,"Decreasing Trend, Smaller"
526869,LEE_WQ,48-10GR,BOD5_MGL,Surface,10 year,2011,2020,120,1.7,-1,"Decreasing Trend, Smaller"
526870,LEE_WQ,48-15GR,BOD5_MGL,Surface,10 year,2011,2020,120,1.45,0,No Trend
526871,LEE_WQ,48-25GR,BOD5_MGL,Surface,10 year,2011,2020,120,1,-2,"Decreasing Trend, Larger Rate"
526880,LEE_WQ,619,BOD5_MGL,Surface,10 year,2011,2020,120,1.3,0,No Trend
526882,LEE_WQ,621,BOD5_MGL,Surface,10 year,2013,2020,89,1.2,-2,"Decreasing Trend, Larger Rate"
526884,LEE_WQ,624,BOD5_MGL,Surface,10 year,2012,2020,104,1.1,-2,"Decreasing Trend, Larger Rate"
526885,LEE_WQ,625,BOD5_MGL,Surface,10 year,2015,2020,71,1.2,0,No Trend
526886,LEE_WQ,626,BOD5_MGL,Surface,10 year,2012,2020,98,1.1,0,No Trend
526888,LEE_WQ,630,BOD5_MGL,Surface,10 year,2011,2020,113,1.1,0,No Trend
526889,LEE_WQ,631,BOD5_MGL,Surface,10 year,2012,2020,98,1.2,0,No Trend
526891,LEE_WQ,635,BOD5_MGL,Surface,10 year,2013,2020,92,1.4,0,No Trend
526892,LEE_WQ,636,BOD5_MGL,Surface,10 year,2011,2020,116,1.45,0,No Trend
526893,LEE_WQ,638,BOD5_MGL,Surface,10 year,2011,2020,115,1.2,0,No Trend
526899,LEE_WQ,BILLGR20,BOD5_MGL,Surface,10 year,2011,2020,120,1.3,0,No Trend
526900,LEE_WQ,BILLGR60,BOD5_MGL,Surface,10 year,2011,2020,120,1.6,0,No Trend
526901,LEE_WQ,BURNTS,BOD5_MGL,Surface,10 year,2011,2020,120,1.2,-1,"Decreasing Trend, Smaller"
526902,LEE_WQ,CES01SUR,BOD5_MGL,Surface,10 year,2011,2020,120,1.7,0,No Trend
526904,LEE_WQ,CES03SUR,BOD5_MGL,Surface,10 year,2011,2020,120,1.3,0,No Trend
526906,LEE_WQ,CES04SUR,BOD5_MGL,Surface,10 year,2011,2020,120,1.25,0,No Trend
526908,LEE_WQ,CES06SUR,BOD5_MGL,Surface,10 year,2011,2020,120,1.1,0,No Trend
526909,LEE_WQ,CES10SUR,BOD5_MGL,Surface,10 year,2011,2020,117,0.9,-2,"Decreasing Trend, Larger Rate"
526910,LEE_WQ,CYPRESSGR,BOD5_MGL,Surface,10 year,2011,2020,116,0.7,0,No Trend
526911,LEE_WQ,DEEPGR10,BOD5_MGL,Surface,10 year,2011,2020,116,1.5,-1,"Decreasing Trend, Smaller"
526912,LEE_WQ,DEEPGR50,BOD5_MGL,Surface,10 year,2011,2020,116,1.8,-1,"Decreasing Trend, Smaller"
526913,LEE_WQ,DEEPGR90,BOD5_MGL,Surface,10 year,2011,2020,120,2.05,-2,"Decreasing Trend, Larger Rate"
526914,LEE_WQ,EB-01,BOD5_MGL,Surface,10 year,2011,2020,118,1.3,-1,"Decreasing Trend, Smaller"
526915,LEE_WQ,EB-02,BOD5_MGL,Surface,10 year,2011,2020,120,1.4,0,No Trend
526916,LEE_WQ,EB-03,BOD5_MGL,Surface,10 year,2011,2020,120,1.4,-1,"Decreasing Trend, Smaller"
526917,LEE_WQ,EB-04,BOD5_MGL,Surface,10 year,2011,2020,118,1.4,-1,"Decreasing Trend, Smaller"
526918,LEE_WQ,EB-05,BOD5_MGL,Surface,10 year,2011,2020,120,1.4,-1,"Decreasing Trend, Smaller"
526919,LEE_WQ,EB-06,BOD5_MGL,Surface,10 year,2011,2020,120,1.3,-1,"Decreasing Trend, Smaller"
526920,LEE_WQ,EB-07,BOD5_MGL,Surface,10 year,2011,2020,120,1.6,-1,"Decreasing Trend, Smaller"
526921,LEE_WQ,EB-08,BOD5_MGL,Surface,10 year,2011,2020,116,1.25,-1,"Decreasing Trend, Smaller"
526922,LEE_WQ,EB-09,BOD5_MGL,Surface,10 year,2011,2020,117,1.4,-1,"Decreasing Trend, Smaller"
526923,LEE_WQ,EB-10,BOD5_MGL,Surface,10 year,2011,2020,118,1.4,-1,"Decreasing Trend, Smaller"
526924,LEE_WQ,EB-11,BOD5_MGL,Surface,10 year,2011,2020,120,1.3,-1,"Decreasing Trend, Smaller"
526925,LEE_WQ,EB-12,BOD5_MGL,Surface,10 year,2011,2020,117,1.1,-1,"Decreasing Trend, Smaller"
526926,LEE_WQ,EB-13,BOD5_MGL,Surface,10 year,2011,2020,120,1.35,-1,"Decreasing Trend, Smaller"
526927,LEE_WQ,EB-14,BOD5_MGL,Surface,10 year,2011,2020,118,1.5,-1,"Decreasing Trend, Smaller"
526928,LEE_WQ,GATRGR30,BOD5_MGL,Surface,10 year,2011,2020,117,1.1,-1,"Decreasing Trend, Smaller"
526929,LEE_WQ,GATRGR60,BOD5_MGL,Surface,10 year,2011,2020,117,1.2,-1,"Decreasing Trend, Smaller"
526930,LEE_WQ,HENDGR01,BOD5_MGL,Surface,10 year,2011,2020,116,1.6,0,No Trend
526931,LEE_WQ,HENDGR02,BOD5_MGL,Surface,10 year,2011,2020,116,1.8,-1,"Decreasing Trend, Smaller"
526932,LEE_WQ,HENDGR11A,BOD5_MGL,Surface,10 year,2011,2020,119,1.7,-2,"Decreasing Trend, Larger Rate"
526933,LEE_WQ,HENDGR20,BOD5_MGL,Surface,10 year,2011,2020,120,1.5,0,No Trend
526934,LEE_WQ,HENDGR30,BOD5_MGL,Surface,10 year,2011,2020,116,1.6,-1,"Decreasing Trend, Smaller"
526935,LEE_WQ,HENDGR40,BOD5_MGL,Surface,10 year,2011,2020,120,1.5,-1,"Decreasing Trend, Smaller"
526936,LEE_WQ,HENDGR41,BOD5_MGL,Surface,10 year,2011,2020,120,1.45,-1,"Decreasing Trend, Smaller"
526937,LEE_WQ,IMPRGR01,BOD5_MGL,Surface,10 year,2011,2020,113,1.5,0,No Trend
526938,LEE_WQ,IMPRGR30,BOD5_MGL,Surface,10 year,2011,2020,120,1.5,-1,"Decreasing Trend, Smaller"
526939,LEE_WQ,IMPRGR41,BOD5_MGL,Surface,10 year,2011,2020,120,1.3,0,No Trend
526940,LEE_WQ,IMPRGR51,BOD5_MGL,Surface,10 year,2011,2020,120,1.1,-1,"Decreasing Trend, Smaller"
526941,LEE_WQ,IMPRGR80,BOD5_MGL,Surface,10 year,2011,2020,120,1.05,-1,"Decreasing Trend, Smaller"
526942,LEE_WQ,KEHLGR,BOD5_MGL,Surface,10 year,2011,2020,119,1.2,-1,"Decreasing Trend, Smaller"
526944,LEE_WQ,LP-10,BOD5_MGL,Surface,10 year,2011,2020,119,2.9,-1,"Decreasing Trend, Smaller"
526945,LEE_WQ,LP-CT1,BOD5_MGL,Surface,10 year,2011,2020,120,1.5,-2,"Decreasing Trend, Larger Rate"
526946,LEE_WQ,LP-CT2,BOD5_MGL,Surface,10 year,2011,2020,120,1.4,-1,"Decreasing Trend, Smaller"
526947,LEE_WQ,LP-CT3,BOD5_MGL,Surface,10 year,2011,2020,119,3.15,-1,"Decreasing Trend, Smaller"
526948,LEE_WQ,LP-CUT,BOD5_MGL,Surface,10 year,2011,2020,120,1.6,-2,"Decreasing Trend, Larger Rate"
526949,LEE_WQ,LP-EW,BOD5_MGL,Surface,10 year,2011,2020,120,1.25,0,No Trend
526950,LEE_WQ,LP-R8,BOD5_MGL,Surface,10 year,2011,2020,120,1.1,0,No Trend
526951,LEE_WQ,LP-RLFMO,BOD5_MGL,Surface,10 year,2011,2020,120,1.4,0,No Trend
526952,LEE_WQ,LP-RLI,BOD5_MGL,Surface,10 year,2011,2020,120,1.4,-1,"Decreasing Trend, Smaller"
526953,LEE_WQ,LP-TIPTO,BOD5_MGL,Surface,10 year,2011,2020,120,1.3,0,No Trend
526954,LEE_WQ,MULLGR01,BOD5_MGL,Surface,10 year,2011,2020,118,1.3,0,No Trend
526955,LEE_WQ,MULLGR02,BOD5_MGL,Surface,10 year,2011,2020,118,1.4,0,No Trend
526956,LEE_WQ,PI-01,BOD5_MGL,Surface,10 year,2011,2020,118,1.1,0,No Trend
526957,LEE_WQ,PI-02,BOD5_MGL,Surface,10 year,2011,2020,118,0.9,-1,"Decreasing Trend, Smaller"
526958,LEE_WQ,PI-03,BOD5_MGL,Surface,10 year,2011,2020,120,1.45,0,No Trend
526959,LEE_WQ,PI-04,BOD5_MGL,Surface,10 year,2011,2020,120,1.5,0,No Trend
526960,LEE_WQ,PI-05,BOD5_MGL,Surface,10 year,2011,2020,120,1.6,0,No Trend
526961,LEE_WQ,PI-07,BOD5_MGL,Surface,10 year,2011,2020,120,1.4,-1,"Decreasing Trend, Smaller"
526962,LEE_WQ,PI-08,BOD5_MGL,Surface,10 year,2011,2020,120,1.3,-1,"Decreasing Trend, Smaller"
526963,LEE_WQ,PI-09,BOD5_MGL,Surface,10 year,2011,2020,119,1.45,-1,"Decreasing Trend, Smaller"
526964,LEE_WQ,PI-10,BOD5_MGL,Surface,10 year,2011,2020,120,1.4,-1,"Decreasing Trend, Smaller"
526965,LEE_WQ,PI-11,BOD5_MGL,Surface,10 year,2011,2020,120,1.4,-1,"Decreasing Trend, Smaller"
526966,LEE_WQ,PI-12,BOD5_MGL,Surface,10 year,2011,2020,118,1.6,-1,"Decreasing Trend, Smaller"
526967,LEE_WQ,PI-13,BOD5_MGL,Surface,10 year,2011,2020,118,1.4,-1,"Decreasing Trend, Smaller"
526968,LEE_WQ,PI-14,BOD5_MGL,Surface,10 year,2011,2020,120,1.4,0,No Trend
526969,LEE_WQ,POWLGR20,BOD5_MGL,Surface,10 year,2011,2020,116,1.1,-1,"Decreasing Trend, Smaller"
526970,LEE_WQ,POWLGR51,BOD5_MGL,Surface,10 year,2011,2020,114,1,-1,"Decreasing Trend, Smaller"
526971,LEE_WQ,POWLGR81,BOD5_MGL,Surface,10 year,2011,2020,118,1.4,-1,"Decreasing Trend, Smaller"
526972,LEE_WQ,SIXMILE2,BOD5_MGL,Surface,10 year,2011,2020,116,1.45,-1,"Decreasing Trend, Smaller"
526973,LEE_WQ,SIXMILE3,BOD5_MGL,Surface,10 year,2011,2020,120,1.95,-1,"Decreasing Trend, Smaller"
526974,LEE_WQ,SIXMILE4,BOD5_MGL,Surface,10 year,2011,2020,118,1.3,-1,"Decreasing Trend, Smaller"
526975,LEE_WQ,SIXMILE5,BOD5_MGL,Surface,10 year,2011,2020,116,1.3,-1,"Decreasing Trend, Smaller"
526976,LEE_WQ,SPANISHGR,BOD5_MGL,Surface,10 year,2011,2020,112,0.75,0,No Trend
526977,LEE_WQ,WHISGR10,BOD5_MGL,Surface,10 year,2011,2020,120,1.2,0,No Trend
526978,LEE_WQ,WHISGR50,BOD5_MGL,Surface,10 year,2011,2020,120,1.1,0,No Trend
526979,LEE_WQ,YFC-CI,BOD5_MGL,Surface,10 year,2011,2020,117,0.95,-2,"Decreasing Trend, Larger Rate"
526980,SARASOTA_COASTALCREEK_WQ,ALL,BOD5_MGL,Surface,10 year,2011,2020,120,1.87,0,No Trend
526981,SARASOTA_COASTALCREEK_WQ,ALL-2,BOD5_MGL,Surface,10 year,2011,2020,120,1.34,0,No Trend
526982,SARASOTA_COASTALCREEK_WQ,ALL-3,BOD5_MGL,Surface,10 year,2012,2020,100,1.76,-1,"Decreasing Trend, Smaller"
526983,SARASOTA_COASTALCREEK_WQ,BBC,BOD5_MGL,Surface,10 year,2011,2020,120,1.06,0,No Trend
526984,SARASOTA_COASTALCREEK_WQ,BGS-B,BOD5_MGL,Surface,10 year,2011,2020,120,1,0,No Trend
526985,SARASOTA_COASTALCREEK_WQ,CC-2,BOD5_MGL,Surface,10 year,2011,2020,120,1.33,0,No Trend
526986,SARASOTA_COASTALCREEK_WQ,CC-3,BOD5_MGL,Surface,10 year,2011,2020,120,1.04,0,No Trend
526987,SARASOTA_COASTALCREEK_WQ,CLG,BOD5_MGL,Surface,10 year,2011,2020,120,1,1,"Increasing Trend, Smaller"
526988,SARASOTA_COASTALCREEK_WQ,CPS-1,BOD5_MGL,Surface,10 year,2011,2020,120,1.15,0,No Trend
526989,SARASOTA_COASTALCREEK_WQ,CPS-2,BOD5_MGL,Surface,10 year,2011,2020,120,1.42,0,No Trend
526990,SARASOTA_COASTALCREEK_WQ,CPS-3,BOD5_MGL,Surface,10 year,2011,2020,120,1.275,0,No Trend
526991,SARASOTA_COASTALCREEK_WQ,DPS,BOD5_MGL,Surface,10 year,2011,2020,120,1,0,No Trend
526992,SARASOTA_COASTALCREEK_WQ,FOR-2,BOD5_MGL,Surface,10 year,2011,2020,120,1.79,0,No Trend
526993,SARASOTA_COASTALCREEK_WQ,HAT-1,BOD5_MGL,Surface,10 year,2011,2020,120,1,0,No Trend
526994,SARASOTA_COASTALCREEK_WQ,HWC,BOD5_MGL,Surface,10 year,2011,2020,120,1,0,No Trend
526995,SARASOTA_COASTALCREEK_WQ,WMS-1,BOD5_MGL,Surface,10 year,2011,2020,120,0.87,1,"Increasing Trend, Smaller"
526996,SARASOTA_COASTALCREEK_WQ,WOD,BOD5_MGL,Surface,10 year,2011,2020,120,1,1,"Increasing Trend, Smaller"
526997,SARASOTAES_WQ,14-5,BOD5_MGL,Surface,10 year,2011,2020,120,1.2,0,No Trend
526998,SARASOTAES_WQ,16-1,BOD5_MGL,Surface,10 year,2011,2020,120,1.1,0,No Trend
526999,SARASOTAES_WQ,16-2,BOD5_MGL,Surface,10 year,2011,2020,120,1,0,No Trend
527000,SARASOTAES_WQ,16-3,BOD5_MGL,Surface,10 year,2011,2020,120,0.8,0,No Trend
527001,SARASOTAES_WQ,16-4,BOD5_MGL,Surface,10 year,2011,2020,120,0.8,0,No Trend
527002,SARASOTAES_WQ,16-5,BOD5_MGL,Surface,10 year,2011,2020,120,0.6,0,No Trend
527003,SARASOTAES_WQ,DR-1,BOD5_MGL,Surface,10 year,2011,2020,120,0.9,0,No Trend
527004,SARASOTAES_WQ,DR-2,BOD5_MGL,Surface,10 year,2011,2020,120,0.8,0,No Trend
527005,SARASOTAES_WQ,DR-3,BOD5_MGL,Surface,10 year,2011,2020,120,0.7,0,No Trend
527006,SARASOTAES_WQ,DR-4,BOD5_MGL,Surface,10 year,2011,2020,120,0.8,0,No Trend
527007,SARASOTAES_WQ,DR-5,BOD5_MGL,Surface,10 year,2011,2020,120,0.7,0,No Trend
527008,SARASOTAES_WQ,LB-1,BOD5_MGL,Surface,10 year,2011,2020,120,1,0,No Trend
527009,SARASOTAES_WQ,LB-2,BOD5_MGL,Surface,10 year,2011,2020,120,1.3,0,No Trend
527010,SARASOTAES_WQ,LB-3,BOD5_MGL,Surface,10 year,2011,2020,120,1.6,0,No Trend
527011,SARASOTAES_WQ,LB-4,BOD5_MGL,Surface,10 year,2011,2020,120,1.65,0,No Trend
527012,SARASOTAES_WQ,LB-5,BOD5_MGL,Surface,10 year,2011,2020,120,1.4,0,No Trend
527063,USGS_NWIS,2292900,BOD5_MGL,Surface,10 year,1973,1982,120,1.2,0,No Trend
527284,WIN_21FLMANA,MR1,BOD5_MGL,Surface,10 year,1999,2008,113,2.25,1,"Increasing Trend, Smaller"
527285,WIN_21FLMANA,MR2,BOD5_MGL,Surface,10 year,1999,2008,113,2.1,1,"Increasing Trend, Smaller"
527415,WIN_CAPECRD,105,BOD5_MGL,Surface,10 year,2011,2020,114,2.4,-1,"Decreasing Trend, Smaller"
527416,WIN_CAPECRD,110,BOD5_MGL,Surface,10 year,2011,2020,119,2.26667,-1,"Decreasing Trend, Smaller"
527417,WIN_CAPECRD,120,BOD5_MGL,Surface,10 year,2011,2020,119,2.4,-1,"Decreasing Trend, Smaller"
527418,WIN_CAPECRD,129,BOD5_MGL,Surface,10 year,2011,2020,116,2,-2,"Decreasing Trend, Larger Rate"
527419,WIN_CAPECRD,130,BOD5_MGL,Surface,10 year,2011,2020,120,2.4,-1,"Decreasing Trend, Smaller"
527421,WIN_CAPECRD,160,BOD5_MGL,Surface,10 year,2011,2020,118,2,-1,"Decreasing Trend, Smaller"
527422,WIN_CAPECRD,190,BOD5_MGL,Surface,10 year,2011,2020,116,2,-1,"Decreasing Trend, Smaller"
527423,WIN_CAPECRD,210,BOD5_MGL,Surface,10 year,2011,2020,119,2.6,-1,"Decreasing Trend, Smaller"
527424,WIN_CAPECRD,242,BOD5_MGL,Surface,10 year,2011,2020,118,2.3,-1,"Decreasing Trend, Smaller"
527425,WIN_CAPECRD,243,BOD5_MGL,Surface,10 year,2011,2020,115,2.4,-1,"Decreasing Trend, Smaller"
527426,WIN_CAPECRD,262,BOD5_MGL,Surface,10 year,2011,2020,120,3.33333,-1,"Decreasing Trend, Smaller"
527427,WIN_CAPECRD,271,BOD5_MGL,Surface,10 year,2011,2020,118,2.4,-1,"Decreasing Trend, Smaller"
527428,WIN_CAPECRD,275,BOD5_MGL,Surface,10 year,2011,2020,119,2.4,-1,"Decreasing Trend, Smaller"
527429,WIN_CAPECRD,280,BOD5_MGL,Surface,10 year,2011,2020,119,2.4,-1,"Decreasing Trend, Smaller"
527430,WIN_CAPECRD,290,BOD5_MGL,Surface,10 year,2011,2020,119,2.5,-1,"Decreasing Trend, Smaller"
527431,WIN_CAPECRD,295,BOD5_MGL,Surface,10 year,2011,2020,119,2.55,-1,"Decreasing Trend, Smaller"
527432,WIN_CAPECRD,300,BOD5_MGL,Surface,10 year,2011,2020,119,2.63167,-1,"Decreasing Trend, Smaller"
527433,WIN_CAPECRD,310,BOD5_MGL,Surface,10 year,2011,2020,119,2.4,-1,"Decreasing Trend, Smaller"
527434,WIN_CAPECRD,315,BOD5_MGL,Surface,10 year,2011,2020,119,2.4,-1,"Decreasing Trend, Smaller"
527435,WIN_CAPECRD,350,BOD5_MGL,Surface,10 year,2011,2020,119,2.1,-1,"Decreasing Trend, Smaller"
527436,WIN_CAPECRD,355,BOD5_MGL,Surface,10 year,2011,2020,119,2.4,-1,"Decreasing Trend, Smaller"
527437,WIN_CAPECRD,390,BOD5_MGL,Surface,10 year,2011,2020,119,2.58333,-1,"Decreasing Trend, Smaller"
527438,WIN_CAPECRD,400,BOD5_MGL,Surface,10 year,2011,2020,119,2.06667,-1,"Decreasing Trend, Smaller"
527439,WIN_CAPECRD,430,BOD5_MGL,Surface,10 year,2011,2020,114,2.4,-1,"Decreasing Trend, Smaller"
527443,WIN_CAPECRD,470,BOD5_MGL,Surface,10 year,2011,2020,119,2.13333,-1,"Decreasing Trend, Smaller"
527444,WIN_CAPECRD,510,BOD5_MGL,Surface,10 year,2011,2020,117,2.45,-2,"Decreasing Trend, Larger Rate"
527445,WIN_CAPECRD,540,BOD5_MGL,Surface,10 year,2012,2020,97,2,-1,"Decreasing Trend, Smaller"
527446,WIN_CAPECRD,550,BOD5_MGL,Surface,10 year,2011,2020,111,2.4,-1,"Decreasing Trend, Smaller"
527449,WIN_CAPECRD,590,BOD5_MGL,Surface,10 year,2011,2020,110,2.325,-1,"Decreasing Trend, Smaller"
527450,WIN_CAPECRD,600,BOD5_MGL,Surface,10 year,2012,2020,106,2,-1,"Decreasing Trend, Smaller"
527499,CHEVWQMN_WQ,CHV001,CHLAC_UGL,Surface,10 year,2011,2020,120,9.75,0,No Trend
527500,CHEVWQMN_WQ,CHV002,CHLAC_UGL,Surface,10 year,2011,2020,120,4.4,0,No Trend
527501,CHEVWQMN_WQ,CHV003,CHLAC_UGL,Surface,10 year,2011,2020,120,5.4,-2,"Decreasing Trend, Larger Rate"
527502,CHEVWQMN_WQ,CHV004,CHLAC_UGL,Surface,10 year,2011,2020,120,6.5,0,No Trend
527503,CHEVWQMN_WQ,CHV006,CHLAC_UGL,Surface,10 year,2011,2020,120,5.4,0,No Trend
527504,CHEVWQMN_WQ,CHV007,CHLAC_UGL,Surface,10 year,2011,2020,119,4.1,0,No Trend
527505,CHEVWQMN_WQ,CHV008,CHLAC_UGL,Surface,10 year,2011,2020,119,3.35,-1,"Decreasing Trend, Smaller"
527506,CHEVWQMN_WQ,CHV009,CHLAC_UGL,Surface,10 year,2011,2020,119,7.8,0,No Trend
527507,CHEVWQMN_WQ,CHV010,CHLAC_UGL,Surface,10 year,2011,2020,120,4.3,0,No Trend
527508,CHEVWQMN_WQ,CHV011,CHLAC_UGL,Surface,10 year,2011,2020,116,2.8,0,No Trend
527509,CHEVWQMN_WQ,CHV012,CHLAC_UGL,Surface,10 year,2011,2020,106,3.5,-1,"Decreasing Trend, Smaller"
527510,CHEVWQMN_WQ,CHV013,CHLAC_UGL,Surface,10 year,2011,2020,118,5.9,0,No Trend
527511,CHEVWQMN_WQ,EBERS2,CHLAC_UGL,Surface,10 year,2011,2020,119,4.7,0,No Trend
527512,CHEVWQMN_WQ,EBV001,CHLAC_UGL,Surface,10 year,2011,2020,120,3.5,-1,"Decreasing Trend, Smaller"
527513,CHEVWQMN_WQ,EBV003,CHLAC_UGL,Surface,10 year,2011,2020,120,2.6,0,No Trend
527514,CHEVWQMN_WQ,EBV004,CHLAC_UGL,Surface,10 year,2011,2020,120,3.8,0,No Trend
527515,CHEVWQMN_WQ,EBV005,CHLAC_UGL,Surface,10 year,2011,2020,117,3.9,-1,"Decreasing Trend, Smaller"
527516,CHEVWQMN_WQ,EBV006,CHLAC_UGL,Surface,10 year,2011,2020,120,3.9,0,No Trend
527517,CHEVWQMN_WQ,EBV007,CHLAC_UGL,Surface,10 year,2011,2020,111,3.7,-1,"Decreasing Trend, Smaller"
527518,CHEVWQMN_WQ,GSV001,CHLAC_UGL,Surface,10 year,2011,2020,120,2.05,0,No Trend
527519,CHEVWQMN_WQ,GSV002,CHLAC_UGL,Surface,10 year,2011,2020,119,3.8,0,No Trend
527520,CHEVWQMN_WQ,GSV005,CHLAC_UGL,Surface,10 year,2008,2017,118,24,0,No Trend
527521,CHEVWQMN_WQ,GSV006,CHLAC_UGL,Surface,10 year,2011,2020,119,5.15,0,No Trend
527522,CHEVWQMN_WQ,LBANG1,CHLAC_UGL,Surface,10 year,2011,2020,111,2.2,0,No Trend
527523,CHEVWQMN_WQ,LBFOR1,CHLAC_UGL,Surface,10 year,2011,2020,120,10,0,No Trend
