Data Source(s),Code,Meaning
LAKECO_SWWQ,J,Estimated value less than quantitation limit
SFWMD_WQ,J1,Surrogate % rec exceeded
SFWMD_WQ,J2,No known QC criteria exist
SFWMD_WQ,J3,Precision or accuracy criteria not met
SFWMD_WQ,J4,Matrix interference
SFWMD_WQ,J5,Improper laboratory or field protocol
SWFWMD_HYDRO,L,Could not locate site
SWFWMD_HYDRO,M,Data missing
SWFWMD_WQ,M,Presence verified but not quantified - result value is PQL
LAKECO_SWWQ,M,Matrix interference
PINELLAS,MCL,Maximum Contamination Level for a regulated analyte
PINELLAS,MDL,Method Detection Level for an analyte
LAKECO_SWWQ,N,Not measured
PINELLAS,NA,Not Applicable - no sample collected nor field data to enter
SFWMD_WQ,NOB,No bottle sample
SFWMD_WQ,NVZ,Not a valid zero value contact laboratory manager
PINELLAS,P,Bacteria were present in a sample
SEMCO_WRAD,P,Too numerous to count
SJRWMD_WQ,P,Presumptive evidence of presence of material
SWFWMD_HYDRO,P,Gage missing
SFWMD_WQ,PMF,Contact project manager
SFWMD_WQ,PMR,Contact project manager
PINELLAS,QNS,Sample Quality Insufficient for analysis
PINELLAS,S,Laboratory test
SEMCO_WRAD,S,Laboratory test
SWFWMD_HYDRO,S,Surveyed
LAKECO_SWWQ,S,Surrogate
LAKECO_SWWQ,V,Detected value
SEMCO_WRAD,W,"Value observed is less than the lowest value reportable under remark ""T"""
SWFWMD_WQ,W,Well construction aspects may influence values
LAKECO_SWWQ,W,Between CRD and IDL
SEMCO_WRAD,X,Value is quasi vertically-integrated sample
SWFWMD_HYDRO,X,Below staff gage
SWFWMD_WQ,X,Estimated value not accurate
LAKECO_SWWQ,x,None
SWFWMD_HYDRO,Y,Above staff gage
