Stratum,DATASOURCE,STATIONID,STATIONNAME,UNIQUEID
45,STORET_FLPRMRWS,PR103_0504,Peace River @ river kilometer 11.5 @ 12 ppt isohaline,STORET_FLPRMRWS : PR103_0504
45,STORET_FLPRMRWS,PR103_0704,Peace River @ river kilometer 6.70 @ 12 ppt isohaline,STORET_FLPRMRWS : PR103_0704
45,STORET_FLPRMRWS,PR103_0804,Peace River @ river kilometer -0.4 @ 12 ppt isohaline,STORET_FLPRMRWS : PR103_0804
45,STORET_FLPRMRWS,PR103_1104,Peace River @ river kilometer 8.5 @ 12 ppt isohaline,STORET_FLPRMRWS : PR103_1104
45,STORET_FLPRMRWS,PR103_1204,Peace River @ river kilometer 12@ 12 ppt isohaline,STORET_FLPRMRWS : PR103_1204
45,STORET_FLPRMRWS,PR104_0104,Peace River @ river kilometer 7.50 @ 12 ppt isohaline,STORET_FLPRMRWS : PR104_0104
45,STORET_FLPRMRWS,PR104_0204,Peace River @ river kilometer 6.3 @ 12 ppt isohaline,STORET_FLPRMRWS : PR104_0204
45,STORET_FLPRMRWS,PR104_0206,Peace River @ river kilometer 1.25 @ 20 ppt isohaline,STORET_FLPRMRWS : PR104_0206
45,STORET_FLPRMRWS,PR104_0304,Peace River @ river kilometer 0.4 @ 12 ppt isohaline,STORET_FLPRMRWS : PR104_0304
45,STORET_FLPRMRWS,PR104_0404,Peace River @ river kilometer 7.2 @ 12 ppt isohaline,STORET_FLPRMRWS : PR104_0404
45,STORET_FLPRMRWS,PR104_0504,Peace River @ river kilometer 7.6 @ 12 ppt isohaline,STORET_FLPRMRWS : PR104_0504
45,STORET_FLPRMRWS,PR104_0704,Peace River @ river kilometer 3.3 @ 12 ppt isohaline,STORET_FLPRMRWS : PR104_0704
45,STORET_FLPRMRWS,PR104_1003,Peace River @ river kilometer 1.5 @ 20 ppt isohaline,STORET_FLPRMRWS : PR104_1003
45,STORET_FLPRMRWS,PR104_1104,Peace River @ river kilometer 2.5 @ 12 ppt isohaline,STORET_FLPRMRWS : PR104_1104
45,STORET_FLPRMRWS,PR104_1204,Peace River @ river kilometer 8 @ 12 ppt isohaline,STORET_FLPRMRWS : PR104_1204
45,LEGACYSTORET_1113S000,120805-D,PUNTA GORDA ISLE NNW CITY BCH PK / SOUTHEAST / PEACE RIVER      FINGER FILL CANAL STUDY,LEGACYSTORET_1113S000 : 120805-D
45,LEGACYSTORET_1113S000,120815-D,PUNTA GORDA ISLE W OF STATION 14 / SOUTHEAST / PEACE RIVER      FINGER FILL CANAL STUDY,LEGACYSTORET_1113S000 : 120815-D
45,LEGACYSTORET_21FLA,25020488,CHARLOTTE HRBR MRKR 2W / SOUTH-EAST / PEACE,LEGACYSTORET_21FLA : 25020488
45,LEGACYSTORET_21FLSWFD,CH-005,CHARLOTTE HARBOR NORTHERN TOWER #2 /  /,LEGACYSTORET_21FLSWFD : CH-005
45,USGS_NWIS,265536082064201,CHARLOTTE HARBOUR VERTICAL PROFILE BI2,USGS_NWIS : 265536082064201
44,STORET_21FLSWFD,670070,PEACE TIDAL CCHMN-43,STORET_21FLSWFD : 670070
43,STORET_21FLFTM,25020614FTM,TIPPECANOE BAY SITE 1,STORET_21FLFTM : 25020614FTM
43,STORET_21FLFTM,25020618FTM,MYAKKA CUTOFF SITE 1,STORET_21FLFTM : 25020618FTM
43,LEGACYSTORET_21FLA,60050SEAS,Locust Point at Myakka Cutoff /  /,LEGACYSTORET_21FLA : 60050SEAS
42,STORET_21FLSWFD,670068,MYAKKA TIDAL CCHMN-41,STORET_21FLSWFD : 670068
42,LEGACYSTORET_21FLA,60070SEAS,Shoal Point at SW tip of Hog Island /  /,LEGACYSTORET_21FLA : 60070SEAS
41,USGS_NWIS,265538082101900,MYAKKA RIVER ESTUARY AT MOUTH NEAR HOG ISLAND,USGS_NWIS : 265538082101900
41,USGS_NWIS,265505082100200,MYAKKA RIVER AT MOUTH NEAR EL JOBEAN FL,USGS_NWIS : 265505082100200
40,DACS_WQ,60-90,MYAKKA RIVER 60-90,DACS_WQ : 60-90
40,LAKEWATCH_V,Lock-Charlotte,Lock,LAKEWATCH_V : Lock-Charlotte
40,LEGACYSTORET_21FLA,60090SEAS,Cattle Dock Point /  /,LEGACYSTORET_21FLA : 60090SEAS
39,LEGACYSTORET_21FLA,25031521,INF GDU GULF COVE / SOUTH-EAST / PEACE,LEGACYSTORET_21FLA : 25031521
39,LEGACYSTORET_21FLA,25031522,EFF GDU GULF COVE / SOUTH-EAST / PEACE,LEGACYSTORET_21FLA : 25031522
39,STORET_21FLSWFD,670060,MYAKKA TIDAL CCHMN-29,STORET_21FLSWFD : 670060
39,LAKEWATCH_V,Aquarius-Charlotte,Aquarius,LAKEWATCH_V : Aquarius-Charlotte
4,STORET_21FLFTM,25020607FTM,ROCK CREEK SITE 2,STORET_21FLFTM : 25020607FTM
3,SARASOTAES_WQ,ML-2,MYAKKA RIVER S ML-2,SARASOTAES_WQ : ML-2
3,SARASOTAES_WQ,ML-4,MYAKKA RIVER S ML-4,SARASOTAES_WQ : ML-4
3,STORET_21FLTPA,25030604,TP127 - MYAKKA RIVER,STORET_21FLTPA : 25030604
3,STORET_21FLWQA,270112108216238,Myakka River near confluence with Big Slough,STORET_21FLWQA : 270112108216238
3,USGS_NWIS,02299486,MYAKKA R AT MTH OF BIG SL NEAR MYAKKA SHORES FL,USGS_NWIS : 02299486
3,USGS_NWIS,270104082162000,MYAKKA RIVER ESTUARY SALINE 49 NR TARPON POINT FL,USGS_NWIS : 270104082162000
3,USGS_NWIS,270136082161300,BIG SLOUGH AT MOUTH NEAR TARPON POINT FL,USGS_NWIS : 270136082161300
3,USGS_NWIS,270148082161800,MYAKKA RIVER ESTUARY NR MOUTH OF BIG SLOUGH CANAL,USGS_NWIS : 270148082161800
3,LEGACYSTORET_21FLSARA,ML-2,MYAKKA RIVER S ML-2,LEGACYSTORET_21FLSARA : ML-2
3,LEGACYSTORET_21FLSARA,ML-4,MYAKKA RIVER S ML-4,LEGACYSTORET_21FLSARA : ML-4
7,STORET_21FLFTM,25020609FTM,ROCK CREEK SITE 4,STORET_21FLFTM : 25020609FTM
6,DACS_WQ,60-212,MYAKKA RIVER 60-212,DACS_WQ : 60-212
6,DACS_WQ,60-213,MYAKKA RIVER 60-213,DACS_WQ : 60-213
6,SARASOTAES_WQ,ML-5,MYAKKA RIVER S ML-5,SARASOTAES_WQ : ML-5
6,STORET_21FLFTM,PEACRV0007FTM,"Rock Creek @ Eisenhower, Bridge # 014052 - 2045",STORET_21FLFTM : PEACRV0007FTM
6,STORET_21FLSWFD,670042,MYAKKA TIDAL CCHMN-6,STORET_21FLSWFD : 670042
6,USGS_NWIS,270009082152900,MYAKKA RIVER ESTUARY NEAR BIRD KEY FL,USGS_NWIS : 270009082152900
6,USGS_NWIS,270023082155000,MYAKKA RIVER AT MARKER 22,USGS_NWIS : 270023082155000
6,LEGACYSTORET_21FLSARA,ML-5,MYAKKA RIVER S ML-5,LEGACYSTORET_21FLSARA : ML-5
6,SARASOTAES_WQ,MR-5,MYAKKA RIVER MR-5,SARASOTAES_WQ : MR-5
6,LEGACYSTORET_21FLA,60212SEAS,Marker 20 /  /,LEGACYSTORET_21FLA : 60212SEAS
6,LEGACYSTORET_21FLSWFD,CH-001,CHARLOTTE HARBOR MYAKKA RIVER @ MARKER 18-20 /  /,LEGACYSTORET_21FLSWFD : CH-001
190,STORET_21FLFTM,25020460,PEACE RIVER BELOW POWERLINES US4,STORET_21FLFTM : 25020460
190,STORET_CITYOFPG,SC08,Shell Creek 08,STORET_CITYOFPG : SC08
190,STORET_CITYOFPG,SC18,Shell Creek 18,STORET_CITYOFPG : SC18
190,STORET_FLPRMRWS,PR01_0902,16.1 km 0 o/oo,STORET_FLPRMRWS : PR01_0902
190,STORET_FLPRMRWS,PR01_1202,16.0 km 0 o/oo,STORET_FLPRMRWS : PR01_1202
190,STORET_FLPRMRWS,PR03_0102,15.9 km 12 o/oo,STORET_FLPRMRWS : PR03_0102
190,STORET_FLPRMRWS,PR03_0502,15.6 km 12 o/oo,STORET_FLPRMRWS : PR03_0502
190,STORET_FLPRMRWS,PR04_0602,16.2 km 20 o/oo,STORET_FLPRMRWS : PR04_0602
190,STORET_FLPRMRWS,PR12,Peace River at Shell Point,STORET_FLPRMRWS : PR12
190,USGS_NWIS,265951081594300,PEACE RIVER TRIBUTARY PT73 WHIDDEN BAY,USGS_NWIS : 265951081594300
190,STORET_FLPRMRWS,SC18,Shell Creek 18,STORET_FLPRMRWS : SC18
190,STORET_FLPRMRWS,SC8,Shell Creek 8,STORET_FLPRMRWS : SC8
190,USGS_NWIS,02297460,PEACE RIVER AT HARBOUR HEIGHTS FL,USGS_NWIS : 02297460
190,USGS_NWIS,265932081592700,PEACE RIVER ESTUARY SITE PR50 NR HARBOR HEIGHTS FL,USGS_NWIS : 265932081592700
190,USGS_NWIS,265939081592400,PEACE RIVER ESTUARY AT HARBOR HEIGHTS FL,USGS_NWIS : 265939081592400
190,STORET_FLPRMRWS,PR101_0405,Peace River @ river kilometer 15.5 @ 0 ppt isohaline,STORET_FLPRMRWS : PR101_0405
190,STORET_FLPRMRWS,PR101_0505,Peace River @ river kilometer 15.75 @ 0 ppt isohaline,STORET_FLPRMRWS : PR101_0505
190,STORET_FLPRMRWS,PR102_0105,Peace River @ river kilometer 18.5 @ 6 ppt isohaline,STORET_FLPRMRWS : PR102_0105
190,STORET_FLPRMRWS,PR102_0504,Peace River @ river kilometer 16 @ 6 ppt isohaline,STORET_FLPRMRWS : PR102_0504
190,STORET_FLPRMRWS,PR102_0806,Peace River @ river kilometer 16.25 @ 6 ppt isohaline,STORET_FLPRMRWS : PR102_0806
190,STORET_FLPRMRWS,PR102_0907,Peace River @ river kilometer 16.00 @ 6 ppt isohaline,STORET_FLPRMRWS : PR102_0907
190,STORET_FLPRMRWS,PR102_1007,Peace River @ river kilometer 15.30 @ 6 ppt isohaline,STORET_FLPRMRWS : PR102_1007
190,STORET_FLPRMRWS,PR103_0107,Peace River @ river kilometer 14.75 @ 12 ppt isohaline,STORET_FLPRMRWS : PR103_0107
190,STORET_FLPRMRWS,PR103_0307,Peace River @ river kilometer 16.50 @ 12 ppt isohaline,STORET_FLPRMRWS : PR103_0307
190,STORET_FLPRMRWS,PR103_1107,Peace River @ river kilometer 13.00 @ 12 ppt isohaline,STORET_FLPRMRWS : PR103_1107
190,STORET_FLPRMRWS,PR104_0507,Peace River @ river kilometer 14.75 @ 20 ppt isohaline,STORET_FLPRMRWS : PR104_0507
190,STORET_FLPRMRWS,PR104_0607,Peace River @ river kilometer 15.50 @ 20 ppt isohaline,STORET_FLPRMRWS : PR104_0607
190,STORET_21FLCHAR,CHV005,Peace R at Marker 4,STORET_21FLCHAR : CHV005
190,LEGACYSTORET_21FLA,25020460,PEACE RIVER BELOW POWERLINES US4 / SOUTH-EAST / PEACE,LEGACYSTORET_21FLA : 25020460
190,LEGACYSTORET_21FLSWFD,FLO0034,PEACE R - AB SHELL CK /  /,LEGACYSTORET_21FLSWFD : FLO0034
190,CHEVWQMN_WQ,CHV005,Peace River,CHEVWQMN_WQ : CHV005
189,STORET_21FLFTM,25020544,CHARLOTTE HAR. RO PLANT AT SAN MARINO,STORET_21FLFTM : 25020544
189,STORET_21FLGW,14325,SWD-SL-1008 UNNAMED SMALL LAKE,STORET_21FLGW : 14325
189,LEGACYSTORET_21FLA,25020544,CHARLOTTE HAR. RO PLANT AT SAN MARINO / SOUTHEAST / PEACE RIVER,LEGACYSTORET_21FLA : 25020544
11,STORET_21FLCHAR,CHV003,Sam Knight Cr at SR776,STORET_21FLCHAR : CHV003
11,CHEVWQMN_WQ,CHV003,Sam Knight Creek,CHEVWQMN_WQ : CHV003
10,STORET_21FLFTM,MYAKRV0001FTM,Unnamed canal near El Jobean at Hale St.,STORET_21FLFTM : MYAKRV0001FTM
9,DACS_WQ,60-211,MYAKKA RIVER 60-211,DACS_WQ : 60-211
9,USGS_NWIS,02299492,MYAKKA RIVER NEAR EL JOBEAN FL,USGS_NWIS : 02299492
9,STORET_21FLFMRI,CHA200201,Charlotte Harbor - Myakka River,STORET_21FLFMRI : CHA200201
9,LEGACYSTORET_21FLA,60211SEAS,"Marker ""B"" /  /",LEGACYSTORET_21FLA : 60211SEAS
9,LEGACYSTORET_21FLSWFD,STA0065,MYAKKA RIVER ABOVE CHARLOTTE HARBOR /  /,LEGACYSTORET_21FLSWFD : STA0065
197,STORET_CITYOFPG,SC05,Shell Creek 05,STORET_CITYOFPG : SC05
197,STORET_CITYOFPG,SC13,Shell Creek 13,STORET_CITYOFPG : SC13
197,STORET_FLPRMRWS,SC13,Shell Creek 13,STORET_FLPRMRWS : SC13
197,STORET_FLPRMRWS,SC14,Shell Creek 14,STORET_FLPRMRWS : SC14
197,STORET_FLPRMRWS,SC5,Shell Creek 5,STORET_FLPRMRWS : SC5
197,USGS_NWIS,265845081573500,PEACE RIVER TRIBUTARY PT90 NEAR CLEVELAND FL,USGS_NWIS : 265845081573500
197,STORET_21FLFTM,25020431,SHELL CK US 17 BR,STORET_21FLFTM : 25020431
197,LEGACYSTORET_21FLA,25020431,SHELL CK US 17 BR / SOUTH-EAST / PEACE,LEGACYSTORET_21FLA : 25020431
196,STORET_21FLSWFD,670158,PEACE TIDAL CCHMN-190,STORET_21FLSWFD : 670158
196,STORET_CITYOFPG,SC14,Shell Creek 14,STORET_CITYOFPG : SC14
196,STORET_CITYOFPG,SC15,Shell Creek 15,STORET_CITYOFPG : SC15
196,STORET_FLPRMRWS,SC6,Shell Creek 6,STORET_FLPRMRWS : SC6
196,USGS_NWIS,02298208,SHELL CREEK TIDAL (2.8 RM) NEAR PUNTA GORDA FL,USGS_NWIS : 02298208
196,STORET_FLPRMRWS,SC15,Shell Creek 15,STORET_FLPRMRWS : SC15
195,STORET_CITYOFPG,SC06,Shell Creek 06,STORET_CITYOFPG : SC06
195,STORET_CITYOFPG,SC07,Shell Creek 07,STORET_CITYOFPG : SC07
195,STORET_CITYOFPG,SC16,Shell Creek 16,STORET_CITYOFPG : SC16
195,STORET_FLPRMRWS,SC7,Shell Creek 7,STORET_FLPRMRWS : SC7
195,STORET_FLPRMRWS,PR02_1102,14.6 km 6 o/oo,STORET_FLPRMRWS : PR02_1102
195,STORET_FLPRMRWS,PR03_0202,13.5 km 12 o/oo,STORET_FLPRMRWS : PR03_0202
195,STORET_FLPRMRWS,PR03_0302,17.0 km 6 o/oo,STORET_FLPRMRWS : PR03_0302
195,USGS_NWIS,265842081592300,PEACE RIVER TRIBUTARY PT80 SHELL CREEK AT MOUTH,USGS_NWIS : 265842081592300
195,STORET_FLPRMRWS,PR101_0603,Unknown km 0 o/oo,STORET_FLPRMRWS : PR101_0603
195,STORET_FLPRMRWS,PR101_0703,12.7 km 0 o/oo,STORET_FLPRMRWS : PR101_0703
195,STORET_FLPRMRWS,PR101_1003,24.7 km 0 o/oo,STORET_FLPRMRWS : PR101_1003
195,STORET_FLPRMRWS,PR102_0503,25.9 km 6 o/oo,STORET_FLPRMRWS : PR102_0503
195,STORET_FLPRMRWS,PR102_1103,20.1 km 6 o/oo,STORET_FLPRMRWS : PR102_1103
195,STORET_FLPRMRWS,PR103_1203,8.4 km 12 o/oo,STORET_FLPRMRWS : PR103_1203
195,STORET_FLPRMRWS,PR101_0204,Peace River @ river kilometer 15.1@ 0 ppt isohaline,STORET_FLPRMRWS : PR101_0204
195,STORET_FLPRMRWS,PR101_0304,Peace River @ river kilometer 14.6 @ 0 ppt isohaline,STORET_FLPRMRWS : PR101_0304
195,STORET_FLPRMRWS,PR101_0305,Peace River @ river kilometer 13.5 @ 0 ppt isohaline,STORET_FLPRMRWS : PR101_0305
195,STORET_FLPRMRWS,PR101_0804,Peace River @ river kilometer 13.70 @ 0 ppt isohaline,STORET_FLPRMRWS : PR101_0804
195,STORET_FLPRMRWS,PR102_0204,Peace River @ river kilometer 14.40 @ 6 ppt isohaline,STORET_FLPRMRWS : PR102_0204
195,STORET_FLPRMRWS,PR102_0205,Peace River @ river kilometer 15.0 @ 6 ppt isohaline,STORET_FLPRMRWS : PR102_0205
195,STORET_FLPRMRWS,PR102_0306,Peace River @ river kilometer 13.5 @ 6 ppt isohaline,STORET_FLPRMRWS : PR102_0306
195,STORET_FLPRMRWS,PR102_0404,Peace River @ river kilometer 15.1 @ 6 ppt isohaline,STORET_FLPRMRWS : PR102_0404
195,STORET_FLPRMRWS,PR102_0704,Peace River @ river kilometer 14.2 @ 6 ppt isohaline,STORET_FLPRMRWS : PR102_0704
195,STORET_FLPRMRWS,PR102_0707,Peace River @ river kilometer 14.50 @ 6 ppt isohaline,STORET_FLPRMRWS : PR102_0707
195,STORET_FLPRMRWS,PR102_0807,Peace River @ river kilometer 14.00 @ 6 ppt isohaline,STORET_FLPRMRWS : PR102_0807
195,STORET_FLPRMRWS,PR102_1204,Peace River @ river kilometer 14 @ 6 ppt isohaline,STORET_FLPRMRWS : PR102_1204
195,STORET_FLPRMRWS,PR103_0104,Peace River @ river kilometer 13.7 @ 12 ppt isohaline,STORET_FLPRMRWS : PR103_0104
195,STORET_FLPRMRWS,PR103_0105,Peace River @ river kilometer 13.5 @ 12 ppt isohaline,STORET_FLPRMRWS : PR103_0105
195,STORET_FLPRMRWS,PR103_0207,Peace River @ river kilometer 14.50 @ 12 ppt isohaline,STORET_FLPRMRWS : PR103_0207
195,STORET_FLPRMRWS,PR103_0406,Peace River @ river kilometer 14.25 @ 12 ppt isohaline,STORET_FLPRMRWS : PR103_0406
195,STORET_FLPRMRWS,PR103_1106,Peace River @ river kilometer 14.5 @ 12 ppt isohaline,STORET_FLPRMRWS : PR103_1106
195,STORET_FLPRMRWS,SC16,Shell Creek 16,STORET_FLPRMRWS : SC16
194,STORET_21FLFTM,25020543,CHARLOTTE HAR. RO PLANT AT DOVER DR CA,STORET_21FLFTM : 25020543
194,STORET_21FLFTM,25020551,"SANTA BARBARA CANAL, LANDWARD END",STORET_21FLFTM : 25020551
194,STORET_FLPRMRWS,PR01_0802,13.0 km 0 o/oo,STORET_FLPRMRWS : PR01_0802
194,STORET_FLPRMRWS,PR02_1002,12.8 km 6 o/oo,STORET_FLPRMRWS : PR02_1002
194,STORET_FLPRMRWS,PR22,Peace River at USGS River Mile 8.6B,STORET_FLPRMRWS : PR22
194,STORET_21FLFMRI,CHA200202,Charlotte Harbor - Peace River,STORET_21FLFMRI : CHA200202
194,USGS_NWIS,265816082003700,PEACE RIVER SITE PR61 NEAR LONG ISLAND,USGS_NWIS : 265816082003700
194,USGS_NWIS,265819082003200,PEACE RIVER AT RIVER MILE 8.6B NEAR PUNTA GORDA FL,USGS_NWIS : 265819082003200
194,STORET_21FLCEN,20010706,194_030607_WBID2056C,STORET_21FLCEN : 20010706
194,STORET_21FLCHAR,CHV013,Peace R/3416 Peace River Dr/Harbor Heights,STORET_21FLCHAR : CHV013
194,CHEVWQMN_WQ,CHV013,Peace River,CHEVWQMN_WQ : CHV013
193,STORET_21FLSWFD,670159,PEACE TIDAL CCHMN-192,STORET_21FLSWFD : 670159
193,USGS_NWIS,265759082011400,PEACE RIVER SITE PR71 AT I75 BRIDGE NORTH END,USGS_NWIS : 265759082011400
18,LEGACYSTORET_21FLA,25020421,SUNRISE WATERWAY & EDGEWATER DR / SOUTH-EAST / PEACE,LEGACYSTORET_21FLA : 25020421
18,STORET_21FLCHAR,CHV001,Sunrise Waterway at Edgewater Dr.,STORET_21FLCHAR : CHV001
18,STORET_21FLFTM,25020421,SUNRISE WATERWAY & EDGEWATER DR,STORET_21FLFTM : 25020421
18,STORET_21FLFTM,25020463,E SPRING LK E SIDE,STORET_21FLFTM : 25020463
18,STORET_21FLFTM,25020465,E SPRING LAKE AT EDGEWATER DR BR,STORET_21FLFTM : 25020465
18,STORET_21FLGW,30780,SW3-SS-2004 UNNAMED SMALL STREAM,STORET_21FLGW : 30780
18,STORET_21FLFTM,25020464,E SPRING LK N END,STORET_21FLFTM : 25020464
18,STORET_21FLFTM,25020466,SUNRISE WTWY PC BLVD BR,STORET_21FLFTM : 25020466
18,LEGACYSTORET_21FLA,25020465,E SPRING LAKE AT EDGEWATER DR BR / SOUTH-EAST / PEACE,LEGACYSTORET_21FLA : 25020465
18,CHEVWQMN_WQ,CHV001,Sunrise Waterway,CHEVWQMN_WQ : CHV001
17,LEGACYSTORET_21FLA,25020537,WEST SPRINGLAKE WTRWY AT EDGEWATER / SOUTHEAST / PEACE RIVER,LEGACYSTORET_21FLA : 25020537
17,STORET_21FLFTM,25020537,WEST SPRINGLAKE WTRWY AT EDGEWATER,STORET_21FLFTM : 25020537
17,STORET_21FLFTM,PEACRV0001FTM,Countryman Waterway at Rock Creek Drive,STORET_21FLFTM : PEACRV0001FTM
17,USGS_NWIS,265823082071700,W SPRING LAKE WW AT EDGEWATER RD NEAR PT CHARL. FL,USGS_NWIS : 265823082071700
17,LAKEWATCH_V,Spring-Charlotte,Spring,LAKEWATCH_V : Spring-Charlotte
16,STORET_21FLFTM,PEACRV0008FTM,"Flopbuck Creek @ Flamingo Blvd, Bridge 014066",STORET_21FLFTM : PEACRV0008FTM
16,STORET_21FLFTM,25020627FTM,FLOPBUCK CREEK SITE 2,STORET_21FLFTM : 25020627FTM
16,STORET_21FLFTM,25020628FTM,FLOPBUCK CREEK SITE 3,STORET_21FLFTM : 25020628FTM
16,STORET_21FLFTM,25020605FTM,COMO WATERWAY SITE 4,STORET_21FLFTM : 25020605FTM
16,STORET_21FLFTM,25020626FTM,FLOPBUCK CREEK SITE 1,STORET_21FLFTM : 25020626FTM
16,STORET_FLPRMRWS,MAN11,MANCHESTER WATERWAY 11,STORET_FLPRMRWS : MAN11
16,LEGACYSTORET_21FLA,60030SEAS,Mouth of Muddy Cove /  /,LEGACYSTORET_21FLA : 60030SEAS
15,STORET_21FLFTM,25020615FTM,TIPPECANOE BAY SITE 2,STORET_21FLFTM : 25020615FTM
15,STORET_21FLFTM,25020616FTM,TIPPECANOE BAY SITE 3,STORET_21FLFTM : 25020616FTM
15,LEGACYSTORET_21FLA,60020SEAS,West shoreline of Tippecanoe Bay /  /,LEGACYSTORET_21FLA : 60020SEAS
15,LEGACYSTORET_21FLA,60180SEAS,Rear of Tippecanoe Bay /  /,LEGACYSTORET_21FLA : 60180SEAS
15,LEGACYSTORET_21FLSWFD,CH-02B,CHARLOTTE HARBOR ENTRANCE TO TIPPICANOE BAY /  /,LEGACYSTORET_21FLSWFD : CH-02B
